ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.82,-0.77,9.96,0.02,-0.05,0.03,0.0,0.0,0.0,5,2019-04-29 17:34:16:473
-0.82,-0.77,9.96,0.02,-0.05,0.03,0.0,0.0,0.0,10,2019-04-29 17:34:16:478
-0.82,-0.77,9.96,0.02,-0.05,0.03,0.0,0.0,0.0,15,2019-04-29 17:34:16:483
-0.82,-0.77,9.96,0.02,-0.05,0.03,0.0,0.0,0.0,20,2019-04-29 17:34:16:488
-0.69,-0.65,9.89,0.02,-0.05,0.03,0.0,0.0,0.0,25,2019-04-29 17:34:16:493
-0.69,-0.65,9.89,0.14,0.05,-0.03,0.0,0.0,0.0,30,2019-04-29 17:34:16:498
-0.69,-0.65,9.89,0.14,0.05,-0.03,0.0,0.0,0.0,35,2019-04-29 17:34:16:503
-0.69,-0.65,9.89,0.14,0.05,-0.03,0.0,0.0,0.0,39,2019-04-29 17:34:16:507
-0.69,-0.65,9.89,0.14,0.05,-0.03,0.0,0.0,0.0,44,2019-04-29 17:34:16:512
-0.81,-0.67,9.85,0.0,0.04,-0.07,0.0,0.0,0.0,50,2019-04-29 17:34:16:518
-0.81,-0.67,9.85,0.0,0.04,-0.07,0.0,0.0,0.0,54,2019-04-29 17:34:16:522
-0.81,-0.67,9.85,0.0,0.04,-0.07,0.0,0.0,0.0,60,2019-04-29 17:34:16:528
-0.81,-0.7,9.99,0.01,0.0,0.06,0.0,0.0,0.0,65,2019-04-29 17:34:16:533
-0.81,-0.7,9.99,0.01,0.0,0.06,0.0,0.0,0.0,70,2019-04-29 17:34:16:538
-0.81,-0.7,9.99,0.01,0.0,0.06,0.0,0.0,0.0,75,2019-04-29 17:34:16:543
-0.81,-0.7,9.99,0.01,0.0,0.06,0.0,0.0,0.0,80,2019-04-29 17:34:16:548
-0.81,-0.7,9.99,0.01,0.0,0.06,0.0,0.0,0.0,85,2019-04-29 17:34:16:553
-0.81,-0.7,9.99,0.01,0.0,0.06,0.0,0.0,0.0,90,2019-04-29 17:34:16:558
-0.91,-0.63,9.91,-0.08,0.06,-0.02,0.0,0.0,0.0,94,2019-04-29 17:34:16:562
-0.91,-0.63,9.91,-0.08,0.06,-0.02,0.0,0.0,0.0,101,2019-04-29 17:34:16:569
-0.91,-0.63,9.91,-0.08,0.06,-0.02,0.0,0.0,0.0,105,2019-04-29 17:34:16:573
-0.91,-0.63,9.91,-0.08,0.06,-0.02,0.0,0.0,0.0,109,2019-04-29 17:34:16:577
-0.91,-0.63,9.91,-0.08,0.06,-0.02,0.0,0.0,0.0,115,2019-04-29 17:34:16:583
-0.91,-0.63,9.91,-0.08,0.06,-0.02,0.0,0.0,0.0,119,2019-04-29 17:34:16:587
-0.97,-0.62,9.95,-0.11,0.07,0.02,0.0,0.0,0.0,125,2019-04-29 17:34:16:593
-0.97,-0.62,9.95,-0.11,0.07,0.02,0.0,0.0,0.0,130,2019-04-29 17:34:16:598
-0.97,-0.62,9.95,-0.11,0.07,0.02,0.0,0.0,0.0,135,2019-04-29 17:34:16:603
-0.97,-0.62,9.95,-0.11,0.07,0.02,0.0,0.0,0.0,139,2019-04-29 17:34:16:607
-0.97,-0.62,9.95,-0.11,0.07,0.02,0.0,0.0,0.0,145,2019-04-29 17:34:16:613
-0.83,-0.58,9.87,0.01,0.1,-0.06,0.0,0.0,0.0,149,2019-04-29 17:34:16:617
-0.83,-0.58,9.87,0.01,0.1,-0.06,0.0,0.0,0.0,155,2019-04-29 17:34:16:623
-0.83,-0.58,9.87,0.01,0.1,-0.06,0.0,0.0,0.0,159,2019-04-29 17:34:16:627
-0.72,-0.66,10.03,0.11,0.01,0.09,0.0,0.0,0.0,165,2019-04-29 17:34:16:633
-0.72,-0.66,10.03,0.11,0.01,0.09,0.0,0.0,0.0,170,2019-04-29 17:34:16:638
-0.72,-0.66,10.03,0.11,0.01,0.09,0.0,0.0,0.0,175,2019-04-29 17:34:16:643
-0.72,-0.66,10.03,0.11,0.01,0.09,0.0,0.0,0.0,179,2019-04-29 17:34:16:647
-0.72,-0.66,10.03,0.11,0.01,0.09,0.0,0.0,0.0,185,2019-04-29 17:34:16:653
-0.69,-0.46,9.88,0.13,0.19,-0.04,0.0,0.0,0.0,194,2019-04-29 17:34:16:662
-0.69,-0.46,9.88,0.13,0.19,-0.04,0.0,0.0,0.0,195,2019-04-29 17:34:16:663
-0.69,-0.46,9.88,0.13,0.19,-0.04,0.0,0.0,0.0,200,2019-04-29 17:34:16:668
-0.69,-0.46,9.88,0.13,0.19,-0.04,0.01,0.0,0.01,204,2019-04-29 17:34:16:672
-0.69,-0.46,9.88,0.13,0.19,-0.04,0.01,0.0,0.01,209,2019-04-29 17:34:16:677
-0.69,-0.46,9.88,0.13,0.19,-0.04,0.01,0.0,0.01,215,2019-04-29 17:34:16:683
-0.69,-0.46,9.88,0.13,0.19,-0.04,0.01,0.0,0.01,219,2019-04-29 17:34:16:687
-0.71,-0.61,10.07,0.11,0.01,0.13,0.0,0.0,0.01,225,2019-04-29 17:34:16:693
-0.71,-0.61,10.07,0.11,0.01,0.13,0.0,0.0,0.01,229,2019-04-29 17:34:16:697
-0.71,-0.61,10.07,0.11,0.01,0.13,0.0,0.0,0.01,234,2019-04-29 17:34:16:702
-0.71,-0.61,10.07,0.11,0.01,0.13,0.0,0.0,0.01,239,2019-04-29 17:34:16:707
-0.73,-0.51,9.86,0.09,0.09,-0.08,0.01,0.0,0.01,244,2019-04-29 17:34:16:712
-0.73,-0.51,9.86,0.09,0.09,-0.08,0.01,0.0,0.01,250,2019-04-29 17:34:16:718
-0.73,-0.51,9.86,0.09,0.09,-0.08,0.01,0.0,0.01,254,2019-04-29 17:34:16:722
-0.73,-0.51,9.86,0.09,0.09,-0.08,0.01,0.0,0.01,261,2019-04-29 17:34:16:729
-0.82,-0.61,9.87,0.0,0.0,-0.07,0.0,0.0,0.01,265,2019-04-29 17:34:16:733
-0.82,-0.61,9.87,0.0,0.0,-0.07,0.0,0.0,0.01,269,2019-04-29 17:34:16:737
-0.82,-0.61,9.87,0.0,0.0,-0.07,0.0,0.0,0.01,274,2019-04-29 17:34:16:742
-0.82,-0.61,9.87,0.0,0.0,-0.07,0.0,0.0,0.01,280,2019-04-29 17:34:16:748
-0.82,-0.61,9.87,0.0,0.0,-0.07,0.0,0.0,0.01,284,2019-04-29 17:34:16:752
-0.82,-0.61,9.87,0.0,0.0,-0.07,0.0,0.0,0.01,289,2019-04-29 17:34:16:757
-0.95,-0.63,10.03,-0.11,-0.02,0.08,0.0,0.0,0.02,294,2019-04-29 17:34:16:762
-0.95,-0.63,10.03,-0.11,-0.02,0.08,0.0,0.0,0.02,300,2019-04-29 17:34:16:768
-0.95,-0.63,10.03,-0.11,-0.02,0.08,0.0,0.0,0.02,305,2019-04-29 17:34:16:773
-0.95,-0.63,10.03,-0.11,-0.02,0.08,0.0,0.0,0.02,309,2019-04-29 17:34:16:777
-0.95,-0.63,10.03,-0.11,-0.02,0.08,0.0,0.0,0.02,314,2019-04-29 17:34:16:782
-0.95,-0.63,10.03,-0.11,-0.02,0.08,0.0,0.0,0.02,319,2019-04-29 17:34:16:787
-0.96,-0.7,9.83,-0.14,-0.09,-0.1,0.0,0.0,0.02,324,2019-04-29 17:34:16:792
-0.96,-0.7,9.83,-0.14,-0.09,-0.1,0.0,0.0,0.02,329,2019-04-29 17:34:16:797
-0.96,-0.7,9.83,-0.14,-0.09,-0.1,0.0,0.0,0.02,335,2019-04-29 17:34:16:803
-0.96,-0.7,9.83,-0.14,-0.09,-0.1,0.0,0.0,0.02,339,2019-04-29 17:34:16:807
-0.96,-0.7,9.83,-0.14,-0.09,-0.1,0.0,0.0,0.02,344,2019-04-29 17:34:16:812
-0.96,-0.7,9.83,-0.14,-0.09,-0.1,0.0,0.0,0.02,349,2019-04-29 17:34:16:817
-0.95,-0.62,10.04,-0.12,-0.01,0.1,0.0,0.0,0.02,354,2019-04-29 17:34:16:822
-0.95,-0.62,10.04,-0.12,-0.01,0.1,0.0,0.0,0.02,359,2019-04-29 17:34:16:827
-0.95,-0.62,10.04,-0.12,-0.01,0.1,0.0,0.0,0.02,365,2019-04-29 17:34:16:833
-0.95,-0.62,10.04,-0.12,-0.01,0.1,0.0,0.0,0.02,369,2019-04-29 17:34:16:837
-0.79,-0.58,9.87,0.03,0.01,-0.05,0.0,0.0,0.02,374,2019-04-29 17:34:16:842
-0.79,-0.58,9.87,0.03,0.01,-0.05,0.0,0.0,0.02,379,2019-04-29 17:34:16:847
-0.85,-0.61,9.91,0.03,0.01,-0.05,0.0,0.0,0.02,384,2019-04-29 17:34:16:852
-0.85,-0.61,9.91,0.0,0.07,-0.07,0.0,0.0,0.02,390,2019-04-29 17:34:16:858
-0.85,-0.61,9.91,0.0,0.07,-0.07,0.0,0.0,0.02,394,2019-04-29 17:34:16:862
-0.85,-0.61,9.91,0.0,0.07,-0.07,0.0,0.0,0.02,399,2019-04-29 17:34:16:867
-0.85,-0.61,9.91,0.0,0.07,-0.07,0.0,0.0,0.02,405,2019-04-29 17:34:16:873
-0.85,-0.61,9.91,0.0,0.07,-0.07,0.0,0.0,0.02,409,2019-04-29 17:34:16:877
-0.71,-0.53,9.91,0.12,0.07,0.0,0.0,0.0,0.02,415,2019-04-29 17:34:16:883
-0.71,-0.53,9.91,0.12,0.07,0.0,0.0,0.0,0.02,419,2019-04-29 17:34:16:887
-0.71,-0.53,9.91,0.12,0.07,0.0,0.0,0.0,0.02,424,2019-04-29 17:34:16:892
-0.71,-0.53,9.91,-0.14,-0.03,0.03,0.0,0.0,0.02,430,2019-04-29 17:34:16:898
-0.71,-0.53,9.91,-0.14,-0.03,0.03,0.0,0.0,0.02,434,2019-04-29 17:34:16:902
-0.71,-0.53,9.91,-0.14,-0.03,0.03,0.0,0.0,0.02,439,2019-04-29 17:34:16:907
-0.71,-0.53,9.91,-0.14,-0.03,0.03,0.0,0.0,0.02,445,2019-04-29 17:34:16:913
-0.71,-0.53,9.91,-0.14,-0.03,0.03,0.0,0.0,0.02,449,2019-04-29 17:34:16:917
-0.87,-0.63,9.82,-0.02,-0.01,-0.09,0.0,0.0,0.01,454,2019-04-29 17:34:16:922
-0.87,-0.63,9.82,-0.02,-0.01,-0.09,0.0,0.0,0.01,459,2019-04-29 17:34:16:927
-0.87,-0.63,9.82,-0.02,-0.01,-0.09,0.0,0.0,0.01,465,2019-04-29 17:34:16:933
-0.87,-0.63,9.82,-0.02,-0.01,-0.09,0.0,0.0,0.01,470,2019-04-29 17:34:16:938
-0.78,-0.67,10.07,0.06,-0.04,0.14,0.0,0.0,0.01,475,2019-04-29 17:34:16:943
-0.78,-0.67,10.07,0.06,-0.04,0.14,0.0,0.0,0.01,481,2019-04-29 17:34:16:949
-0.78,-0.67,10.07,0.06,-0.04,0.14,0.0,0.0,0.01,484,2019-04-29 17:34:16:952
-0.78,-0.67,10.07,0.06,-0.04,0.14,0.0,0.0,0.01,490,2019-04-29 17:34:16:958
-0.78,-0.69,9.88,0.06,-0.06,-0.03,0.0,0.0,0.01,494,2019-04-29 17:34:16:962
-0.78,-0.69,9.88,0.06,-0.06,-0.03,0.0,0.0,0.01,500,2019-04-29 17:34:16:968
-0.78,-0.69,9.88,0.06,-0.06,-0.03,0.0,0.0,0.01,508,2019-04-29 17:34:16:976
-0.78,-0.69,9.88,0.06,-0.06,-0.03,0.0,0.0,0.01,509,2019-04-29 17:34:16:977
-0.74,-0.61,9.84,0.09,0.03,-0.07,0.0,0.0,0.0,514,2019-04-29 17:34:16:982
-0.74,-0.61,9.84,0.09,0.03,-0.07,0.0,0.0,0.0,519,2019-04-29 17:34:16:987
-0.74,-0.61,9.84,0.09,0.03,-0.07,0.0,0.0,0.0,524,2019-04-29 17:34:16:992
-0.74,-0.61,9.84,0.09,0.03,-0.07,0.0,0.0,0.0,529,2019-04-29 17:34:16:997
-0.74,-0.61,9.84,0.09,0.03,-0.07,0.0,0.0,0.0,535,2019-04-29 17:34:17:003
-0.74,-0.61,9.84,0.09,0.03,-0.07,0.0,0.0,0.0,540,2019-04-29 17:34:17:008
-0.77,-0.68,10.13,0.05,-0.03,0.19,0.0,0.0,0.0,544,2019-04-29 17:34:17:012
-0.77,-0.68,10.13,0.05,-0.03,0.19,0.0,0.0,0.0,549,2019-04-29 17:34:17:017
-0.77,-0.68,10.13,0.05,-0.03,0.19,0.0,0.0,0.0,554,2019-04-29 17:34:17:022
-0.77,-0.68,10.13,0.05,-0.03,0.19,0.0,0.0,0.0,559,2019-04-29 17:34:17:027
-0.87,-0.66,9.77,-0.04,-0.01,-0.14,0.0,0.0,0.0,564,2019-04-29 17:34:17:032
-0.87,-0.66,9.77,-0.04,-0.01,-0.14,0.0,0.0,0.0,569,2019-04-29 17:34:17:037
-0.87,-0.66,9.77,-0.04,-0.01,-0.14,0.0,0.0,0.0,574,2019-04-29 17:34:17:042
-0.87,-0.66,9.77,-0.04,-0.01,-0.14,0.0,0.0,0.0,580,2019-04-29 17:34:17:048
-0.96,-0.73,9.99,-0.13,-0.08,0.07,0.0,0.0,0.0,585,2019-04-29 17:34:17:053
-0.96,-0.73,9.99,-0.13,-0.08,0.07,0.0,0.0,0.0,590,2019-04-29 17:34:17:058
-0.96,-0.73,9.99,-0.13,-0.08,0.07,0.0,0.0,0.0,595,2019-04-29 17:34:17:063
-0.96,-0.73,9.99,-0.13,-0.08,0.07,0.0,0.0,0.0,599,2019-04-29 17:34:17:067
-0.96,-0.73,9.99,-0.13,-0.08,0.07,0.0,0.0,0.0,605,2019-04-29 17:34:17:073
-0.96,-0.73,9.99,-0.13,-0.08,0.07,0.0,0.0,0.0,610,2019-04-29 17:34:17:078
-0.94,-0.63,9.92,-0.09,0.02,0.0,0.0,0.0,0.0,615,2019-04-29 17:34:17:083
-0.94,-0.63,9.92,-0.09,0.02,0.0,0.0,0.0,0.0,620,2019-04-29 17:34:17:088
-0.81,-0.66,9.84,-0.09,0.02,0.0,0.0,0.0,0.0,625,2019-04-29 17:34:17:093
-0.81,-0.66,9.84,0.03,0.0,-0.06,0.0,0.0,0.0,629,2019-04-29 17:34:17:097
-0.81,-0.66,9.84,0.03,0.0,-0.06,0.0,0.0,0.0,635,2019-04-29 17:34:17:103
-0.81,-0.66,9.84,0.03,0.0,-0.06,0.0,0.0,0.0,639,2019-04-29 17:34:17:107
-0.9,-0.75,9.95,-0.06,-0.07,0.03,0.0,0.0,0.0,645,2019-04-29 17:34:17:113
-0.9,-0.75,9.95,-0.06,-0.07,0.03,0.0,0.0,0.0,650,2019-04-29 17:34:17:118
-0.9,-0.75,9.95,-0.06,-0.07,0.03,0.0,0.0,0.0,655,2019-04-29 17:34:17:123
-0.9,-0.75,9.95,-0.06,-0.07,0.03,0.0,0.0,0.0,660,2019-04-29 17:34:17:128
-0.9,-0.75,9.95,-0.06,-0.07,0.03,0.0,0.0,0.0,665,2019-04-29 17:34:17:133
-0.9,-0.75,9.95,-0.06,-0.07,0.03,0.0,0.0,0.0,670,2019-04-29 17:34:17:138
-0.86,-0.65,9.9,-0.01,0.02,-0.01,0.0,0.0,0.0,675,2019-04-29 17:34:17:143
-0.86,-0.65,9.9,-0.01,0.02,-0.01,0.0,0.0,0.0,680,2019-04-29 17:34:17:148
-0.79,-0.67,9.94,-0.01,0.02,-0.01,0.0,0.0,0.0,684,2019-04-29 17:34:17:152
-0.79,-0.67,9.94,-0.01,0.02,-0.01,0.0,0.0,0.0,689,2019-04-29 17:34:17:157
-0.79,-0.67,9.94,-0.01,0.02,-0.01,0.0,0.0,0.0,695,2019-04-29 17:34:17:163
-0.79,-0.67,9.94,-0.01,0.02,-0.01,0.0,0.0,0.0,700,2019-04-29 17:34:17:168
-0.83,-0.68,9.96,0.01,0.0,0.02,0.0,0.0,0.0,704,2019-04-29 17:34:17:172
-0.83,-0.68,9.96,0.01,0.0,0.02,0.0,0.0,0.0,709,2019-04-29 17:34:17:177
-0.83,-0.68,9.96,0.01,0.0,0.02,0.0,0.0,0.0,715,2019-04-29 17:34:17:183
-0.83,-0.68,9.96,0.01,0.0,0.02,0.0,0.0,0.0,719,2019-04-29 17:34:17:187
-0.85,-0.71,9.99,0.0,-0.04,0.07,0.01,0.0,0.0,725,2019-04-29 17:34:17:193
-0.85,-0.71,9.99,0.0,-0.04,0.07,0.01,0.0,0.0,730,2019-04-29 17:34:17:198
-0.85,-0.71,9.99,0.0,-0.04,0.07,0.01,0.0,0.0,735,2019-04-29 17:34:17:203
-0.85,-0.71,9.99,0.0,-0.04,0.07,0.01,0.0,0.0,742,2019-04-29 17:34:17:210
-0.85,-0.55,9.77,0.0,0.11,-0.14,0.0,0.0,0.0,745,2019-04-29 17:34:17:213
-0.85,-0.55,9.77,0.0,0.11,-0.14,0.0,0.0,0.0,754,2019-04-29 17:34:17:222
-0.85,-0.55,9.77,0.0,0.11,-0.14,0.0,0.0,0.0,758,2019-04-29 17:34:17:226
-0.85,-0.55,9.77,0.0,0.11,-0.14,0.0,0.0,0.0,759,2019-04-29 17:34:17:227
-0.79,-0.71,10.02,0.05,-0.03,0.08,-0.01,0.0,0.0,765,2019-04-29 17:34:17:233
-0.79,-0.71,10.02,0.05,-0.03,0.08,-0.01,0.0,0.0,769,2019-04-29 17:34:17:237
-0.79,-0.71,10.02,0.05,-0.03,0.08,-0.01,0.0,0.0,775,2019-04-29 17:34:17:243
-0.79,-0.71,10.02,0.05,-0.03,0.08,-0.01,0.0,0.0,780,2019-04-29 17:34:17:248
-0.82,-0.77,10.07,0.03,-0.08,0.14,0.01,0.0,0.0,784,2019-04-29 17:34:17:252
-0.82,-0.77,10.07,0.03,-0.08,0.14,0.01,0.0,0.0,790,2019-04-29 17:34:17:258
-0.82,-0.77,10.07,0.03,-0.08,0.14,0.01,0.0,0.0,795,2019-04-29 17:34:17:263
-0.82,-0.77,10.07,0.03,-0.08,0.14,0.01,0.0,0.0,799,2019-04-29 17:34:17:267
-0.75,-0.6,9.77,0.09,0.08,-0.14,0.0,0.0,0.0,805,2019-04-29 17:34:17:273
-0.75,-0.6,9.77,0.09,0.08,-0.14,0.0,0.0,0.0,809,2019-04-29 17:34:17:277
-0.75,-0.6,9.77,0.09,0.08,-0.14,0.0,0.0,0.0,815,2019-04-29 17:34:17:283
-0.75,-0.6,9.77,0.09,0.08,-0.14,0.0,0.0,0.0,819,2019-04-29 17:34:17:287
-0.78,-0.69,9.93,0.05,0.0,0.0,-0.01,0.0,0.0,825,2019-04-29 17:34:17:293
-0.78,-0.69,9.93,0.05,0.0,0.0,-0.01,0.0,0.0,830,2019-04-29 17:34:17:298
-0.78,-0.69,9.93,0.05,0.0,0.0,-0.01,0.0,0.0,834,2019-04-29 17:34:17:302
-0.78,-0.69,9.93,0.05,0.0,0.0,-0.01,0.0,0.0,842,2019-04-29 17:34:17:310
-0.78,-0.69,9.93,0.05,0.0,0.0,-0.01,0.0,0.0,844,2019-04-29 17:34:17:312
-0.82,-0.7,9.98,0.02,-0.01,0.04,0.01,0.0,0.0,849,2019-04-29 17:34:17:317
-0.82,-0.7,9.98,0.02,-0.01,0.04,0.01,0.0,0.0,855,2019-04-29 17:34:17:323
-0.82,-0.7,9.98,0.02,-0.01,0.04,0.01,0.0,0.0,860,2019-04-29 17:34:17:328
-0.85,-0.62,9.8,0.0,0.06,-0.12,0.0,0.0,0.0,865,2019-04-29 17:34:17:333
-0.85,-0.62,9.8,0.0,0.06,-0.12,0.0,0.0,0.0,869,2019-04-29 17:34:17:337
-0.85,-0.62,9.8,0.0,0.06,-0.12,0.0,0.0,0.0,874,2019-04-29 17:34:17:342
-0.85,-0.62,9.8,0.0,0.06,-0.12,0.0,0.0,0.0,879,2019-04-29 17:34:17:347
-0.83,-0.66,9.91,0.01,0.02,-0.01,0.0,0.0,0.0,885,2019-04-29 17:34:17:353
-0.83,-0.66,9.91,0.01,0.02,-0.01,0.0,0.0,0.0,890,2019-04-29 17:34:17:358
-0.83,-0.66,9.91,0.01,0.02,-0.01,0.0,0.0,0.0,895,2019-04-29 17:34:17:363
-0.83,-0.66,9.91,0.01,0.02,-0.01,0.0,0.0,0.0,899,2019-04-29 17:34:17:367
-0.84,-0.76,10.02,0.0,-0.06,0.1,0.0,0.0,0.0,905,2019-04-29 17:34:17:373
-0.84,-0.76,10.02,0.0,-0.06,0.1,0.0,0.0,0.0,909,2019-04-29 17:34:17:377
-0.84,-0.76,10.02,0.0,-0.06,0.1,0.0,0.0,0.0,914,2019-04-29 17:34:17:382
-0.84,-0.76,10.02,0.0,-0.06,0.1,0.0,0.0,0.0,919,2019-04-29 17:34:17:387
-0.84,-0.63,9.84,0.0,0.06,-0.08,0.0,0.0,0.0,925,2019-04-29 17:34:17:393
-0.84,-0.63,9.84,0.0,0.06,-0.08,0.0,0.0,0.0,929,2019-04-29 17:34:17:397
-0.84,-0.63,9.84,0.0,0.06,-0.08,0.0,0.0,0.0,934,2019-04-29 17:34:17:402
-0.84,-0.63,9.84,0.0,0.06,-0.08,0.0,0.0,0.0,939,2019-04-29 17:34:17:407
-0.78,-0.67,9.86,0.05,0.03,-0.06,0.0,0.0,0.0,944,2019-04-29 17:34:17:412
-0.78,-0.67,9.86,0.05,0.03,-0.06,0.0,0.0,0.0,950,2019-04-29 17:34:17:418
-0.78,-0.67,9.86,0.05,0.03,-0.06,0.0,0.0,0.0,955,2019-04-29 17:34:17:423
-0.78,-0.67,9.86,0.05,0.03,-0.06,0.0,0.0,0.0,959,2019-04-29 17:34:17:427
-0.84,-0.72,9.96,0.0,-0.02,0.04,0.0,0.0,0.0,964,2019-04-29 17:34:17:432
-0.84,-0.72,9.96,0.0,-0.02,0.04,0.0,0.0,0.0,969,2019-04-29 17:34:17:437
-0.84,-0.72,9.96,0.0,-0.02,0.04,0.0,0.0,0.0,975,2019-04-29 17:34:17:443
-0.84,-0.72,9.96,0.0,-0.02,0.04,0.0,0.0,0.0,979,2019-04-29 17:34:17:447
-0.78,-0.68,9.96,0.04,0.01,0.03,0.0,0.0,0.0,984,2019-04-29 17:34:17:452
-0.78,-0.68,9.96,0.04,0.01,0.03,0.0,0.0,0.0,989,2019-04-29 17:34:17:457
-0.78,-0.68,9.96,0.04,0.01,0.03,0.0,0.0,0.0,995,2019-04-29 17:34:17:463
-0.78,-0.68,9.96,0.04,0.01,0.03,0.0,0.0,0.0,1000,2019-04-29 17:34:17:468
-0.8,-0.71,9.93,0.02,-0.01,0.0,0.0,0.0,0.0,1004,2019-04-29 17:34:17:472
-0.8,-0.71,9.93,0.02,-0.01,0.0,0.0,0.0,0.0,1009,2019-04-29 17:34:17:477
-0.8,-0.71,9.93,0.02,-0.01,0.0,0.0,0.0,0.0,1014,2019-04-29 17:34:17:482
-0.8,-0.71,9.93,0.02,-0.01,0.0,0.0,0.0,0.0,1019,2019-04-29 17:34:17:487
-0.87,-0.77,9.97,-0.03,-0.07,0.05,0.0,0.0,0.0,1025,2019-04-29 17:34:17:493
-0.87,-0.77,9.97,-0.03,-0.07,0.05,0.0,0.0,0.0,1029,2019-04-29 17:34:17:497
-0.87,-0.77,9.97,-0.03,-0.07,0.05,0.0,0.0,0.0,1034,2019-04-29 17:34:17:502
-0.87,-0.77,9.97,-0.03,-0.07,0.05,0.0,0.0,0.0,1039,2019-04-29 17:34:17:507
-0.87,-0.77,9.97,-0.03,-0.07,0.05,0.0,0.0,0.0,1044,2019-04-29 17:34:17:512
-0.87,-0.71,9.87,-0.03,0.0,-0.05,0.0,0.0,0.0,1049,2019-04-29 17:34:17:517
-0.87,-0.71,9.87,-0.03,0.0,-0.05,0.0,0.0,0.0,1054,2019-04-29 17:34:17:522
-0.87,-0.71,9.87,-0.03,0.0,-0.05,0.0,0.0,0.0,1059,2019-04-29 17:34:17:527
-0.89,-0.68,9.9,-0.04,0.02,-0.01,0.0,0.0,0.01,1064,2019-04-29 17:34:17:532
-0.89,-0.68,9.9,-0.04,0.02,-0.01,0.0,0.0,0.01,1069,2019-04-29 17:34:17:537
-0.89,-0.68,9.9,-0.04,0.02,-0.01,0.0,0.0,0.01,1075,2019-04-29 17:34:17:543
-0.89,-0.68,9.9,-0.04,0.02,-0.01,0.0,0.0,0.01,1080,2019-04-29 17:34:17:548
-0.87,-0.71,9.89,-0.03,0.0,-0.03,0.0,0.0,0.01,1085,2019-04-29 17:34:17:553
-0.87,-0.71,9.89,-0.03,0.0,-0.03,0.0,0.0,0.01,1090,2019-04-29 17:34:17:558
-0.87,-0.71,9.89,-0.03,0.0,-0.03,0.0,0.0,0.01,1095,2019-04-29 17:34:17:563
-0.87,-0.71,9.89,-0.03,0.0,-0.03,0.0,0.0,0.01,1100,2019-04-29 17:34:17:568
-0.83,-0.62,9.72,0.0,0.08,-0.19,0.0,0.0,0.01,1104,2019-04-29 17:34:17:572
-0.83,-0.62,9.72,0.0,0.08,-0.19,0.0,0.0,0.01,1110,2019-04-29 17:34:17:578
-0.83,-0.62,9.72,0.0,0.08,-0.19,0.0,0.0,0.01,1115,2019-04-29 17:34:17:583
-0.83,-0.62,9.72,0.0,0.08,-0.19,0.0,0.0,0.01,1119,2019-04-29 17:34:17:587
-0.83,-0.7,10.13,0.0,0.01,0.19,0.0,0.0,0.01,1124,2019-04-29 17:34:17:592
-0.83,-0.7,10.13,0.0,0.01,0.19,0.0,0.0,0.01,1129,2019-04-29 17:34:17:597
-0.83,-0.7,10.13,0.0,0.01,0.19,0.0,0.0,0.01,1134,2019-04-29 17:34:17:602
-0.83,-0.7,10.13,0.0,0.01,0.19,0.0,0.0,0.01,1139,2019-04-29 17:34:17:607
-0.59,-0.54,10.15,0.23,0.16,0.2,0.02,0.0,0.01,1146,2019-04-29 17:34:17:614
-0.59,-0.54,10.15,0.23,0.16,0.2,0.02,0.0,0.01,1150,2019-04-29 17:34:17:618
-0.59,-0.54,10.15,0.23,0.16,0.2,0.02,0.0,0.01,1155,2019-04-29 17:34:17:623
-0.59,-0.54,10.15,0.23,0.16,0.2,0.02,0.0,0.01,1160,2019-04-29 17:34:17:628
-0.71,-0.8,9.51,0.08,-0.09,-0.42,0.02,-0.01,0.01,1164,2019-04-29 17:34:17:632
-0.71,-0.8,9.51,0.08,-0.09,-0.42,0.02,-0.01,0.01,1169,2019-04-29 17:34:17:637
-0.71,-0.8,9.51,0.08,-0.09,-0.42,0.02,-0.01,0.01,1175,2019-04-29 17:34:17:643
-0.71,-0.8,9.51,0.08,-0.09,-0.42,0.02,-0.01,0.01,1180,2019-04-29 17:34:17:648
-0.71,-0.8,9.51,0.08,-0.09,-0.42,0.02,-0.01,0.01,1185,2019-04-29 17:34:17:653
-0.71,-0.8,9.51,0.08,-0.09,-0.42,0.02,-0.01,0.01,1189,2019-04-29 17:34:17:657
-1.67,-1.0,9.85,-0.79,-0.3,-0.1,0.0,-0.01,0.0,1195,2019-04-29 17:34:17:663
-1.67,-1.0,9.85,-0.79,-0.3,-0.1,0.0,-0.01,0.0,1200,2019-04-29 17:34:17:668
-1.67,-1.0,9.85,-0.79,-0.3,-0.1,0.03,0.0,0.02,1204,2019-04-29 17:34:17:672
-1.67,-1.0,9.85,-0.79,-0.3,-0.1,0.03,0.0,0.02,1210,2019-04-29 17:34:17:678
-1.67,-1.0,9.85,-0.79,-0.3,-0.1,0.03,0.0,0.02,1215,2019-04-29 17:34:17:683
-1.67,-1.0,9.85,-0.79,-0.3,-0.1,0.03,0.0,0.02,1219,2019-04-29 17:34:17:687
